title,price,availability,rating,review
adidas men TERREX Soulstride Flow Trail Running Shoes,US $55.00,2 available / 445 sold,97.8% positive,(470709)
Reebok Glide Shoes,US $29.97,3 available / 328 sold,97% positive,(132726)
"Avia Men's Talus Rugged Walking Shoes, Wide Width",US $27.98,2 available / 106 sold,96.6% positive,(367)
*NEW - CONVERSE CHUCK TAYLOR All Star High Top Unisex Canvas Sneaker Shoes ,US $59.99,"3 available / 1,393 sold",99.3% positive,(7610)
Water Shoes Quick Dry Barefoot for Swim Diving Surf Aqua Sport Beach Vacation,US $11.97/ea,"More than 10 available / 10,464 sold",98.7% positive,(14964)
Reebok Court Advance Shoes,US $42.00,5 available / 44 sold,97% positive,(132726)
adidas men Lite Racer 2.0 Shoes,US $36.00,"5 available / 2,003 sold",97.8% positive,(470709)
Men Water Shoes Barefoot Shoes Lightweight Swim Walking Sport Beach Shoes,US $13.99,Last One / 30 sold,98.4% positive,(2197)
adidas men Stan Smith PRIDE RM Shoes,US $44.00,5 available / 158 sold,97.8% positive,(470709)
Men's Predator 20.3 Shoes,US $34.99,7 available / 16 sold,99.5% positive,(4494)
Reebok Ultra Flash Shoes,US $29.97,10 available / 39 sold,97% positive,(132726)
Reebok Court Advance Shoes,US $29.97,10 available / 241 sold,97% positive,(132726)
adidas men NMD_V3 Shoes,US $68.00,"Limited quantity available / 4,565 sold",97.8% positive,(470709)
adidas men Adizero Boston 11 Running Shoes,US $84.00,More than 10 available / 551 sold,97.8% positive,(470709)
